supplier_id,supplier_name,contact_name,contact_email,country,phone,rating,lead_time_days,is_active,contract_start
237930,SubscriptionBox HQ,Miguel Wojcik,miguel.wojcik@subscription.com,Poland,+42848621833,2.8,14,True,2021-03-23
210458,GiftCard Solutions,Pierre Torres,pierre.torres@giftcardsolu.com,UK,,3.2,14,True,2020-09-28
230512,EcoProducts EU,Tomasz Andersen,tomasz.andersen@ecoproductse.com,Sweden,+36648868899,4.8,26,True,2018-09-21
213238,PremiumGoods Direct,Julia Williams,julia.williams@premiumgoods.com,Germany,+37822408848,4.5,5,True,2020-01-31
249823,SpeedShip Wholesale,Monika Gallo,monika.gallo@speedshipwho.com,Sweden,+43776205431,4.3,13,True,2020-01-29
236434,ValueDirect EU,Simone Rossi,simone.rossi@valuedirecte.com,Germany,+43334978881,4.9,17,True,2022-09-28
259429,TrustSource Distributors,Anna Richard,anna.richard@trustsourced.com,Sweden,+34960514523,3.8,18,True,2021-10-07
283320,GlobalLink Supply,Ingrid Lewandowski,ingrid.lewandowski@globallinksu.com,Belgium,+44270894498,3.7,9,True,2020-05-11
247819,FastTrack Goods,Elise Larsen,elise.larsen@fasttrackgoo.com,Spain,,3.2,9,True,2022-08-06
221319,MegaSupply Europe,Alessandro Durand,alessandro.durand@megasupplyeu.com,France,+37511281012,4.3,3,True,2020-10-25
248520,QualityFirst EU,Maxime Hansen,maxime.hansen@qualityfirst.com,UK,+31322086735,3.5,25,True,2018-03-02
246566,DirectShip EU,Charlotte Eriksson,charlotte.eriksson@directshipeu.com,Italy,+41420632895,4.6,27,True,2022-08-24
227460,ProSource Wholesale,Nicolas Larsen,nicolas.larsen@prosourcewho.com,Spain,+38567975319,3.5,22,True,2021-06-10
287841,EliteGoods EU,Marie Hansen,marie.hansen@elitegoodseu.com,France,,3.5,19,True,2018-09-18
234993,NovaTech Distributors 2,Ella Durand,ella.durand@novatechdist.com,Sweden,+35153992714,3.3,15,True,2021-03-23
291988,AlphaGoods Europe 2,Sebastian Kaminski,sebastian.kaminski@alphagoodseu.com,Netherlands,,3.8,12,True,2018-08-02
289593,MediterranEan Supply 2,Chiara Romano,chiara.romano@mediterranea.com,Spain,+36121882877,3.1,16,True,2022-10-19
284939,Nordic Wholesale 2,Emma Hansen,emma.hansen@nordicwholes.com,Netherlands,+41280162221,4.9,23,True,2019-05-24
209358,BritishTradeHub 2,Miguel Thomas,miguel.thomas@britishtrade.com,Austria,+30434961542,4.8,13,True,2019-09-09
279840,IbericaImports 2,Francesca Martinez,francesca.martinez@ibericaimpor.com,Germany,+39834717549,2.8,19,True,2020-12-14
283227,PolandDirect 2,Chloe Lewandowski,chloe.lewandowski@polanddirect.com,Poland,+32643271261,2.5,14,True,2018-11-24
222431,BeneluxLogistics 2,Marek Evans,marek.evans@beneluxlogis.com,Sweden,+34567600762,3.8,21,True,2022-07-31
270010,TechSourceEU 2,Lucas Hansen,lucas.hansen@techsourceeu.com,UK,+48388187517,3.1,30,True,2021-11-01
295568,FashionForwardEU 2,Anna Hansen,anna.hansen@fashionforwa.com,Austria,+49817461907,2.6,28,True,2022-02-23
232087,KitchenPro Suppliers 2,Emma Davies,emma.davies@kitchenprosu.com,Netherlands,+40400281010,4.3,9,True,2022-05-25
221417,BookBridgeEurope 2,Jean Martin,jean.martin@bookbridgeeu.com,Spain,+43624606470,3.1,16,True,2022-03-05
260589,SportElite Wholesale 2,Piotr Esposito,piotr.esposito@sportelitewh.com,Germany,+39337937327,3.1,22,True,2022-01-10
249735,BeautyHub International 2,Manon Brown,manon.brown@beautyhubint.com,UK,+47455184454,3.6,10,True,2019-01-10
235382,ToyWorldEU 2,Jean Smith,jean.smith@toyworldeu2.com,Germany,+47918394863,3.0,24,True,2022-06-18
283886,GourmetSelectEU 2,Julia Dubois,julia.dubois@gourmetselec.com,Spain,+39344258191,3.3,23,True,2020-05-02
290198,AutoPartsEurope 2,Chiara Marino,chiara.marino@autopartseur.com,Belgium,+39848846217,4.1,25,True,2018-02-08
273000,GreenGarden Supplies 2,Julia Nielsen,julia.nielsen@greengardens.com,Sweden,+44465830215,2.6,28,True,2018-07-23
228785,PetCare Wholesale 2,George Larsen,george.larsen@petcarewhole.com,Germany,+48775862179,2.9,26,True,2020-08-01
289733,OfficeBasics EU 2,Alessandro Martinez,alessandro.martinez@officebasics.com,Germany,+47920814900,4.0,20,True,2022-06-12
242504,MusicMakers Supply 2,Charlotte Johansson,charlotte.johansson@musicmakerss.com,Sweden,+39731924051,3.3,20,True,2018-11-05
207331,WellnessFirst Distributors 2,Thomas Becker,thomas.becker@wellnessfirs.com,Netherlands,+32268638768,3.9,6,True,2021-10-31
230021,LuggagePro Europe 2,Monika Fernandez,monika.fernandez@luggageproeu.com,Italy,+37409350265,4.3,15,True,2019-12-27
204207,JewelryCraft EU 2,Maria Meyer,maria.meyer@jewelrycraft.com,UK,+33684719405,2.9,9,True,2018-08-10
241347,ArtSupplyHub 2,Elena Schmidt,elena.schmidt@artsupplyhub.com,Netherlands,+49904187231,4.8,15,True,2020-08-02
252581,BabyEssentials EU 2,George Gonzalez,george.gonzalez@babyessentia.com,Belgium,+47630208579,4.0,29,True,2020-09-28
235093,CameraWorld Wholesale 2,Klaus Romano,klaus.romano@cameraworldw.com,Germany,+37824022357,3.9,1,False,2020-04-17
208675,GamersHub Europe 2,Chiara Schneider,chiara.schneider@gamershubeur.com,Sweden,+46799552991,3.2,19,True,2022-03-08
227653,SmartHomeEU 2,Valentina Nielsen,valentina.nielsen@smarthomeeu2.com,Poland,+43457887167,2.8,6,True,2022-03-20
274341,FurnitureDirectEU 2,Julia Wisniewski,julia.wisniewski@furnituredir.com,Belgium,,3.1,4,False,2021-06-09
